,Car Name,Car Model,Model Year,Price,Registration Year,Fuel Type,Kms Driven(kms),Engine Displacement(cc),Transmission,Year of Manufacture,Mileage(kmpl),Steering Type,Top Speed(kmph)
1370,Toyota,Toyota Fortuner,2014.0,1775000.0,2014.0,Diesel,73000.0,2982.0,Manual,2014.0,13.0,Power,176.0
1371,Maruti,Maruti Celerio,2017.0,466000.0,2017.0,Petrol,41436.0,998.0,Manual,2017.0,23.1,Power,150.0
1372,Honda,Honda City,2019.0,924000.0,2019.0,Petrol,19024.0,1497.0,Manual,2019.0,17.4,Power,189.0
1373,Mahindra,Mahindra Xylo,2016.0,775000.0,2016.0,Diesel,73000.0,2179.0,Manual,2016.0,14.02,Power,160.0
1374,Maruti,Maruti Alto 800,2020.0,378000.0,2020.0,Petrol,73140.0,796.0,Manual,2020.0,22.05,Power,140.0
1375,Maruti,Maruti Swift,2015.0,555000.0,2015.0,Petrol,29289.0,1197.0,Manual,2015.0,22.38,Electric,160.0
1376,Honda,Honda City,2016.0,899000.0,2016.0,Petrol,39116.0,1497.0,Automatic,2016.0,18.0,Power,195.0
1377,Maruti,Maruti Alto 800,2019.0,370000.0,2019.0,Petrol,41958.0,796.0,Manual,2019.0,24.7,Power,140.0
1378,Honda,Honda WR-V,2018.0,810000.0,2018.0,Petrol,26626.0,1199.0,Manual,2018.0,17.5,Electric,164.26
1379,Honda,Honda Jazz,2019.0,774000.0,2019.0,Petrol,63460.0,1199.0,Automatic,2019.0,18.2,Power,172.0
1380,Hyundai,Hyundai Santro,2019.0,530000.0,2019.0,Petrol,35711.0,1086.0,Manual,2019.0,20.3,Power,165.0
1382,Tata,Tata Altroz,2020.0,880000.0000000001,2020.0,Petrol,25396.0,1199.0,Manual,2020.0,19.33,Electric,121.92
1383,Hyundai,Hyundai i20,2013.0,525000.0,2013.0,Diesel,88000.0,1396.0,Manual,2013.0,21.27,Power,180.0
1384,Jeep,Jeep Compass,2019.0,1605000.0,2019.0,Petrol,62000.0,1368.0,Automatic,2019.0,14.1,Power,186.69
1385,Honda,Honda City,2020.0,1170000.0,2020.0,Petrol,35993.0,1498.0,Manual,2020.0,18.6,Electric,189.0
1386,Hyundai,Hyundai Grand i10,2017.0,650000.0,2017.0,Petrol,34000.0,1197.0,Automatic,2017.0,18.9,Power,165.0
1387,Honda,Honda WR-V,2019.0,875000.0,2019.0,Petrol,51338.0,1199.0,Manual,2019.0,17.5,Electric,164.26
1388,Hyundai,Hyundai Grand i10,2015.0,500000.0,2016.0,Petrol,74280.0,1197.0,Manual,2015.0,18.9,Power,165.0
1389,Land Rover,Land Rover Range Rover Sport,2019.0,9500000.0,2020.0,Diesel,82000.0,2993.0,Automatic,2019.0,12.65,Power,222.0
1390,Audi,Audi A6,2015.0,2195000.0,2015.0,Diesel,63773.0,1968.0,Automatic,2015.0,17.68,Power,222.0
1391,Hyundai,Hyundai Grand i10,2015.0,395000.0,2016.0,Petrol,101356.0,1197.0,Manual,2015.0,18.9,Power,165.0
1392,Maruti,Maruti Alto 800,2020.0,421000.0,2020.0,CNG,75591.0,796.0,Manual,2020.0,31.59,Power,140.0
1393,Hyundai,Hyundai Creta,2017.0,1300000.0,2017.0,Petrol,72208.0,1591.0,Automatic,2017.0,13.0,Power,165.0
1394,Maruti,Maruti Swift,2014.0,490000.00000000006,2014.0,Petrol,51489.0,1197.0,Manual,2014.0,22.38,Electric,160.0
1395,Maruti,Maruti Ignis,2017.0,520000.0,2017.0,Petrol,74643.0,1197.0,Automatic,2017.0,20.89,Electrical,165.0
1396,BMW,BMW X5,2008.0,1450000.0,2008.0,Diesel,44000.0,2993.0,Automatic,2008.0,15.3,Power,222.0
1397,Honda,Honda Jazz,2017.0,616000.0,2017.0,Petrol,79575.0,1199.0,Automatic,2017.0,19.0,Power,172.0
1398,Honda,Honda WR-V,2018.0,825000.0,2018.0,Petrol,54097.0,1199.0,Manual,2018.0,17.5,Electric,164.26
1399,Honda,Honda City,2018.0,838000.0000000001,2018.0,Petrol,35288.0,1497.0,Manual,2018.0,17.4,Power,189.0
1400,Maruti,Maruti Swift,2019.0,618000.0,2019.0,Petrol,70314.0,1197.0,Automatic,2019.0,22.56,Electric,160.0
1401,Renault,Renault Duster,2017.0,875000.0,2017.0,Diesel,96939.0,1461.0,Manual,2017.0,19.72,Power,168.0
1402,Nissan,Nissan Micra,2010.0,390000.0,2010.0,Petrol,44824.0,1198.0,Manual,2010.0,18.06,Power,158.0
1403,Toyota,Toyota Innova,2014.0,1349000.0,2014.0,Diesel,169219.0,2494.0,Manual,2014.0,12.99,Power,155.0
1405,Mercedes-Benz,Mercedes-Benz GL-Class,2014.0,4100000.0,2014.0,Diesel,79000.0,2987.0,Automatic,2014.0,11.3,Power,220.0
1406,Jeep,Jeep Compass,2020.0,2190000.0,2020.0,Diesel,20183.0,1956.0,Automatic,2020.0,17.1,Power,160.21
1407,Toyota,Toyota Yaris,2018.0,795000.0,2018.0,Petrol,77130.0,1496.0,Automatic,2018.0,17.8,Power,180.0
1408,Ford,Ford Ecosport,2017.0,775000.0,2017.0,Petrol,45000.0,1496.0,Automatic,2017.0,14.7,Electric,171.43
1409,Maruti,Maruti Baleno,2017.0,745000.0,2017.0,Petrol,27025.0,1197.0,Automatic,2017.0,19.56,Electric,180.0
1410,Kia,Kia Seltos,2019.0,1125000.0,2019.0,Petrol,105153.0,1353.0,Manual,2019.0,16.1,Power,165.0
1411,Mahindra,Mahindra XUV500,2016.0,1030000.0000000001,2016.0,Diesel,70509.0,2179.0,Manual,2016.0,16.0,Power,185.0
1412,Renault,Renault KWID,2020.0,582000.0,2020.0,Petrol,11662.0,999.0,Automatic,2020.0,22.0,Electric,155.8
1413,Hyundai,Hyundai Grand i10,2018.0,615000.0,2019.0,Petrol,36176.0,1197.0,Manual,2018.0,18.9,Power,165.0
1414,Honda,Honda Jazz,2015.0,560000.0,2015.0,Petrol,74342.0,1199.0,Automatic,2015.0,19.0,Power,172.0
1415,Maruti,Maruti Baleno,2016.0,710000.0,2016.0,Diesel,89837.0,1248.0,Manual,2016.0,27.39,Power,170.0
1416,Maruti,Maruti Swift,2015.0,535000.0,2015.0,Petrol,11912.0,1197.0,Manual,2015.0,21.21,Electric,160.0
1417,Maruti,Maruti Swift,2012.0,446000.0,2013.0,Diesel,55544.0,1248.0,Manual,2012.0,22.9,Power,158.0
